		embryo_1	embryo_1	embryo_1	embryo_1	embryo_2	embryo_2	embryo_2	embryo_2	embryo_3	embryo_3	embryo_3	embryo_3	embryo_4	embryo_4	embryo_4	embryo_4	embryo_5	embryo_5	embryo_5	embryo_5
ensembl gene id	symbol	blastomere_1	blastomere_2	blastomere_3	blastomere_4	blastomere_1	blastomere_2	blastomere_3	blastomere_4	blastomere_1	blastomere_2	blastomere_3	blastomere_4	blastomere_1	blastomere_2	blastomere_3	blastomere_4	blastomere_1	blastomere_2	blastomere_3	blastomere_4
ENSMUSG00000000001	Gnai3	811573.0	47478.8	233547.0	808314.0	522818.0	159252.0	183172.0	510423.0	194673.0	665724.0	448066.0	173059.0	578848.0	196745.0	637090.0	305544.0	411197.0	658336.0	135940.0	388482.0
ENSMUSG00000000028	Cdc45	3121300.0	2968050.0	2825510.0	3169340.0	2864880.0	3333010.0	2921120.0	3117030.0	3721720.0	2330160.0	5202990.0	2321030.0	2429090.0	1979910.0	2594680.0	3207760.0	2816060.0	2764840.0	675191.0	2535670.0
ENSMUSG00000000037	Scml2	0.0	1746.1	0.0	29273.4	129386.0	55089.4	809689.0	38600.6	35128.8	84504.6	186477.0	100170.0	22520.4	70600.7	0.0	62062.1	20395.1	26230.0	0.0	0.0
ENSMUSG00000000049	Apoh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199671.0	13627.8	20134.6	5847.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000056	Narf	128556.0	539761.0	5963.4	251877.0	1074260.0	1389720.0	30966.1	0.0	0.0	272681.0	0.0	1586680.0	0.0	0.0	46027.5	170359.0	1068.4	0.0	0.0	0.0
ENSMUSG00000000058	Cav2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1857.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000078	Klf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54375.2	41016.7	56709.3	60840.3	0.0	0.0	0.0	0.0
ENSMUSG00000000085	Scmh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8625.2	4896.8	769732.0	4313.8	721737.0	0.0	72508.8	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000088	Cox5a	8410990.0	6321010.0	8347750.0	8873710.0	6816650.0	9025560.0	7864320.0	6885490.0	10337300.0	11475300.0	10431500.0	8974840.0	6740580.0	10793400.0	8740330.0	7108200.0	9162720.0	9988990.0	11517100.0	9703000.0
